"record_id","atd_device_id","read_date","intersection_name","direction","movement","heavy_vehicle","volume","speed_average","speed_stddev","seconds_in_zone_average","seconds_in_zone_stddev","month","day","year","hour","minute","day_of_week","bin_duration"
"5a2a3c14388bcd1e5a66e039f6351a7a","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","LEFT TURN","false","19","13.789","5.04","32.063","47.375","10","7","2022","17","15","5","900"
"a0978199fd90812c0b0be0e8e36f6858","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","false","12","14.0","2.86","13.508","35.64","10","7","2022","17","15","5","900"
"1203ca9338ffd4bbb5150d3c746d76e8","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","RIGHT TURN","true","1","12.0","0.0","0.6","0.0","10","7","2022","17","15","5","900"
"e83dec8e96f50056956faa81873b71b3","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","SOUTHBOUND","THRU","false","13","14.692","5.893","42.362","41.331","10","7","2022","17","15","5","900"
"cf1773adeb14269cd24984783731ce45","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","LEFT TURN","false","19","15.947","4.034","10.842","29.563","10","7","2022","17","15","5","900"
"6aa9f18b7d2af924666e9abad5ff9618","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","RIGHT TURN","false","14","12.929","2.674","3.779","2.987","10","7","2022","17","15","5","900"
"cce4a15f0462fad866b87efaa5cf41f6","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","false","316","44.937","12.264","2.159","6.697","10","7","2022","17","15","5","900"
"d10a5b267c94dd87b3d742b2cfc71203","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","THRU","true","26","49.731","11.918","1.169","1.98","10","7","2022","17","15","5","900"
"225f3170dcd06122efe0d7b413a13073","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","U-TURN","false","4","10.25","2.062","21.125","41.85","10","7","2022","17","15","5","900"
"18fa859d044a5ac2da2f6b12bfb98e38","6212","2022-10-07T17:15:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","WESTBOUND","U-TURN","true","1","11.0","0.0","1.7","0.0","10","7","2022","17","15","5","900"
"cb519b8bb5fec1945826e92799b63cde","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","LEFT TURN","false","10","11.7","2.406","1.26","0.829","10","7","2022","17","30","5","900"
"bcf86cda1f680a435574a60f91fa0867","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","LEFT TURN","true","1","14.0","0.0","0.4","0.0","10","7","2022","17","30","5","900"
"ded112b70c6af9983b2887ce28a471f2","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","false","14","20.0","12.704","5.086","15.872","10","7","2022","17","30","5","900"
"8f05ad98de59eab77af5117812632b43","6212","2022-10-07T17:30:00.000","PARMER LN / LAMPLIGHT VILLAGE AVE","EASTBOUND","RIGHT TURN","true","7","21.286","13.086","0.529","0.415","10","7","2022","17","30","5","900"
